,,,,,Task Priority,,,,,,,
,,,,,,,,,,,,
,7/18/2026,Tasks ,,,,,,,,,,
,,Completed,,110,,,,,,,,
,,In-Progress,,1,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,01/06/2026,10:00:00 AM,6:30:00 PM,task assign,10:00:00 AM,11:00:00 AM,Medium,1:00:00,connected with my team explained LMS backed the and connected with kuberan to integrate lms,,,Completed
,,,,,11:00:00,11:30:00,Low,00:30:00,meet,,,Completed
,,,,,11:30:00,13:00:00,High,01:30:00,working on the lms admin potal backend,,,Completed
,,,,,14:00:00,18:30:00,Low,04:30:00,working on the lms admin potal api integration with kuberan,,,Completed
,,,,,,,,00:00:00,,,,
,06/02/2026,10:00:00,18:30:00,task assign,10:00:00,11:00:00,Medium,01:00:00,task assign and checking up the projects,,,Completed
,,,,,11:00:00,11:30:00,Low,00:30:00,meet,,,Completed
,,,,,11:30:00,13:00:00,High,01:30:00,lms api integration with kuberan and developing new api accoding to kuberan's request,,,Completed
,,,,,14:00:00,18:00:00,Medium,04:00:00,revivew the works and connect the api integration and review errors,,,Completed
,,,,,18:00:00,18:30:00,Low,00:30:00,meet,,,Completed
,,,,,,,,00:00:00,,,,
,06/03/2026,10:00:00,18:30:00,task assign,10:00:00,11:00:00,Medium,01:00:00,task assign,,,Completed
,,,,,11:00:00,11:30:00,Low,00:30:00,meet,,,Completed
,,,,,11:30:00,13:00:00,High,01:30:00,lms api integration and help kuberan integrate backend and frontend,,,Completed
,,,,,14:00:00,18:30:00,Medium,04:30:00,lms new api creation such as assignment and test,,,Completed
,,,,,,,,00:00:00,,,,
,06/04/2026,10:00:00,18:30:00,task assign,10:00:00,11:00:00,Medium,01:00:00,task assign and intro to follei with the team,,,Completed
,,,,,11:30:00,18:00:00,High,06:30:00,lms api integration and new DB Schema integration,,,Completed
,,,,,18:00:00,18:30:00,Low,00:30:00,meet,,,Completed
,,,,,,,,00:00:00,,,,
,06/05/2026,10:00:00,19:00:00,task assign,10:00:00,11:00:00,Medium,01:00:00,task assign,,,Completed
,,,,,11:00:00,11:30:00,Low,00:30:00,meet,,,Completed
,,,,,11:30:00,14:00:00,High,02:30:00,integrating the api on lms,,,Completed
